Nome_entidade,Cidade,Dependencia_adm,Localizacao,Numero_de_alunos,porte_da_escola,numero_de_participantes_no_enem,taxa_de_participacao,indicador_de_permanencia_na_escola,indicador_nivel_socioeconomico,faixa_indicador_de_formacao_docente,indicador_de_formacao_docente,taxa_de_aprovacao,taxa_de_reprovacao,taxa_de_abandono,Linguagem,Redacao,Matematica,Humanas,Natureza
EEB PROF NELSON HOROSTECKI,CHAPECO,Estadual,Urbana,73,De 61 a 90 alunos,59,"80,82",De 60% a 80%,Alto,Maior que 50%,"58,7","86,6","9,2","4,2","511,21","533,9","482,53","549,66","476,08"
EEB ANTONIO MORANDINI,CHAPECO,Estadual,Urbana,48,De 31 a 60 alunos,32,"66,67",80% ou mais,Médio Alto,Até 50%,"49,4","70,1","20,3","9,6","487,64","473,75","448,64","517,52","443,93"
EEB CEL LARA RIBAS,CHAPECO,Estadual,Urbana,60,De 31 a 60 alunos,39,65,80% ou mais,Alto,Maior que 50%,"52,4","84,8","14,2",1,"519,06","509,23","471,88","552,37","496,46"
COLEGIO MARISTA SAO FRANCISCO,CHAPECO,Privada,Urbana,46,De 31 a 60 alunos,43,"93,48",80% ou mais,Muito Alto,Maior que 50%,"66,7","93,3","6,1","0,6","571,2","685,12","645,86","623,1","591,5"
COLEGIO DINAMICO CHAPECO,CHAPECO,Privada,Urbana,61,De 61 a 90 alunos,44,"72,13",80% ou mais,Muito Alto,Maior que 50%,"71,8","97,1","2,3","0,6","540,91",540,"524,25","582,86","531,63"
COLEGIO EXPONENCIAL,CHAPECO,Privada,Urbana,75,De 61 a 90 alunos,61,"81,33",De 60% a 80%,Muito Alto,Maior que 50%,69,"88,6","11,4",0,"555,99","594,75","603,08","593,56","558,69"
COLEGIO ENERGIA,CHAPECO,Privada,Urbana,81,De 61 a 90 alunos,76,"93,83",De 40% a 60%,Muito Alto,Maior que 50%,"50,6","94,3","5,7",0,"594,35","671,32","642,54","639,22","605,89"
SENAI SC CHAPECO,CHAPECO,Privada,Urbana,38,De 31 a 60 alunos,31,"81,58",De 60% a 80%,Muito Alto,Até 50%,"28,6",87,13,0,"524,37","538,71","514,52","565,82","532,81"
COLEGIO TRILINGUE INOVACAO,CHAPECO,Privada,Urbana,26,De 1 a 30 alunos,23,"88,46",De 60% a 80%,Alto,Maior que 50%,60,"96,7","3,3",0,"615,82","691,3","708,82","646,11","625,27"
EEB PROFº PE SCHULER,COCAL DO SUL,Estadual,Urbana,127,Mais que 90 alunos,85,"66,93",80% ou mais,Alto,Maior que 50%,"63,9","78,4","20,7","0,9","504,51","494,59","463,98","548,4","486,3"
