Nome_entidade,Cidade,Dependencia_adm,Localizacao,Numero_de_alunos,porte_da_escola,numero_de_participantes_no_enem,taxa_de_participacao,indicador_de_permanencia_na_escola,indicador_nivel_socioeconomico,faixa_indicador_de_formacao_docente,indicador_de_formacao_docente,taxa_de_aprovacao,taxa_de_reprovacao,taxa_de_abandono,Linguagem,Redacao,Matematica,Humanas,Natureza
EEM ABDON BATISTA,JARAGUA DO SUL,Estadual,Urbana,94,Mais que 90 alunos,49,"52,13",De 60% a 80%,Alto,Maior que 50%,"61,3","83,5","14,5",2,"528,62","502,04","490,73","560,03","484,59"
EEB PROFº GIARDINI LUIZ LENZI,JARAGUA DO SUL,Estadual,Urbana,61,De 61 a 90 alunos,31,"50,82",De 20% a 40%,Alto,Maior que 50%,56,"82,3","11,7",6,"510,97","502,58","453,87","553,85","481,36"
EEB JULIUS KARSTEN,JARAGUA DO SUL,Estadual,Urbana,154,Mais que 90 alunos,87,"56,49",80% ou mais,Alto,Maior que 50%,59,"83,9",11,"5,1","476,2","428,97","434,62","513,26","455,81"
EEM PROFESSORA DARCI FRANKE WELK,JARAGUA DO SUL,Estadual,Urbana,79,De 61 a 90 alunos,46,"58,23",De 60% a 80%,Médio Alto,Maior que 50%,"64,6",87,"9,6","3,4","512,62","507,83","485,26","564,29","488,9"
COLEGIO BOM JESUS DIVINA PROVIDENCIA,JARAGUA DO SUL,Privada,Urbana,37,De 31 a 60 alunos,37,100,80% ou mais,Muito Alto,Maior que 50%,"79,7",95,5,0,"590,43","657,3","686,41","631,37","579,45"
INSTITUTO EDUC JANGADA,JARAGUA DO SUL,Privada,Urbana,37,De 31 a 60 alunos,32,"86,49",De 60% a 80%,Muito Alto,Maior que 50%,70,"87,9","12,1",0,"596,35","538,13","594,07","616,96","571,15"
COLEGIO MARISTA SAO LUIS,JARAGUA DO SUL,Privada,Urbana,41,De 31 a 60 alunos,36,"87,8",80% ou mais,Muito Alto,Maior que 50%,"55,6","88,2","11,8",0,"557,81","656,11","592,15","603,1","556,11"
COLEGIO EVANGELICO JARAGUA,JARAGUA DO SUL,Privada,Urbana,42,De 31 a 60 alunos,33,"78,57",80% ou mais,Muito Alto,Maior que 50%,"77,1","95,5","4,5",0,"562,2","576,97","557,85","601,27","552,98"
SENAI SC JARAGUA DO SUL,JARAGUA DO SUL,Privada,Urbana,196,Mais que 90 alunos,152,"77,55",80% ou mais,Muito Alto,Maior que 50%,"86,6","96,7","3,3",0,"529,99","566,71","542,96","566,91","524,66"
EEB FAZENDA TRIANGULO,JARDINOPOLIS,Estadual,Urbana,20,De 1 a 30 alunos,16,80,80% ou mais,Médio,Até 50%,"38,3","78,7","19,1","2,2","477,91","486,25","470,38","520,78","490,77"
EEB GOV CELSO RAMOS,JOACABA,Estadual,Urbana,114,Mais que 90 alunos,63,"55,26",De 60% a 80%,Médio Alto,Maior que 50%,"61,1",69,"25,3","5,7","491,66","410,16","441,58","513,16","452,96"
EEB DEP NELSON PEDRINI,JOACABA,Estadual,Urbana,31,De 31 a 60 alunos,16,"51,61",80% ou mais,Alto,Maior que 50%,"59,7","68,8",28,"3,2","500,63","491,25","441,52","532,25","463,13"
COLEGIO MARISTA FREI ROGERIO,JOACABA,Privada,Urbana,42,De 31 a 60 alunos,39,"92,86",80% ou mais,Muito Alto,Maior que 50%,"66,7","95,6","4,4",0,"565,63","593,08","606,29","612,42","555,28"
COLEGIO LUTERANO SANTISSIMA TRINDADE,JOACABA,Privada,Urbana,20,De 1 a 30 alunos,15,75,80% ou mais,Muito Alto,Maior que 50%,"57,5","95,2","4,8",0,"587,39","669,33","586,34","611,49","557,52"
COLEGIO CONEXAO,JOACABA,Privada,Urbana,20,De 1 a 30 alunos,15,75,80% ou mais,Sem informação,Até 50%,"36,6","98,1",0,"1,9","534,11","510,67","511,75","585,5","508,51"
COLEGIO SUPERATIVO,JOACABA,Privada,Urbana,81,De 61 a 90 alunos,70,"86,42",De 60% a 80%,Alto,Maior que 50%,69,"93,1","6,9",0,"547,79","644,86","572,41","601,1","542,68"
EEB FRANCISCO EBERHARDT,JOINVILLE,Estadual,Rural,34,De 31 a 60 alunos,19,"55,88",80% ou mais,Alto,Até 50%,"47,3","76,1","23,9",0,"500,67","466,32","458,76","543,29","484,31"
EEB ENG ANNES GUALBERTO,JOINVILLE,Estadual,Urbana,140,Mais que 90 alunos,85,"60,71",De 60% a 80%,Alto,Maior que 50%,"71,7","89,9","10,1",0,"521,28","526,59","486,42","552,92","487,95"
EEB OSVALDO ARANHA,JOINVILLE,Estadual,Urbana,83,De 61 a 90 alunos,59,"71,08",80% ou mais,Alto,Maior que 50%,"50,8","87,3","8,7",4,"537,8","605,76","506,77","575,41","500,09"
EEB PLACIDO OLIMPIO DE OLIVEIRA,JOINVILLE,Estadual,Urbana,36,De 31 a 60 alunos,19,"52,78",De 60% a 80%,Alto,Até 50%,"47,2","71,9","14,1",14,"523,85","547,37","471,71","551,98","477,73"
EEB DR TUFI DIPPE,JOINVILLE,Estadual,Urbana,206,Mais que 90 alunos,126,"61,17",De 60% a 80%,Alto,Maior que 50%,"79,1","74,6","16,4",9,"513,38","535,4","493,28","554,47","484,37"
EEB PROF GERMANO TIMM,JOINVILLE,Estadual,Urbana,135,Mais que 90 alunos,107,"79,26",De 40% a 60%,Alto,Maior que 50%,"71,6","90,7","8,6","0,7","530,24","574,77","493,37","563,05","501,85"
EEB DR PAULO MEDEIROS,JOINVILLE,Estadual,Urbana,200,Mais que 90 alunos,109,"54,5",80% ou mais,Médio Alto,Maior que 50%,"60,3","76,7",17,"6,3","513,2","478,53","476,91","551,63","478,83"
EEB PROF JOAO ROCHA,JOINVILLE,Estadual,Urbana,153,Mais que 90 alunos,99,"64,71",De 40% a 60%,Alto,Maior que 50%,"76,4","86,6","12,5","0,9","502,94","499,39","473,9","549,42","483,18"
EEB PROF JOAO MARTINS VERAS,JOINVILLE,Estadual,Urbana,62,De 61 a 90 alunos,44,"70,97",De 60% a 80%,Alto,Maior que 50%,"69,4","79,8",13,"7,2","529,79","545,45","476,32","558,08","470,12"
EEB ARNALDO MOREIRA DOUAT,JOINVILLE,Estadual,Urbana,79,De 61 a 90 alunos,45,"56,96",De 40% a 60%,Alto,Maior que 50%,"64,2",76,"16,8","7,2","513,14","483,11","467,38","534,23","481,11"
EEM GOV CELSO RAMOS,JOINVILLE,Estadual,Urbana,294,Mais que 90 alunos,149,"50,68",De 20% a 40%,Médio Alto,Maior que 50%,"66,2","78,4","14,1","7,5","525,98","554,63","496,06","565,7","494,36"
EEB PROF MARIA AMIN GHANEM,JOINVILLE,Estadual,Urbana,63,De 61 a 90 alunos,39,"61,9",80% ou mais,Alto,Maior que 50%,"73,1","80,3","12,6","7,1","486,45","486,15","473,77","536,38","468,71"
EEB CONSELHEIRO MAFRA,JOINVILLE,Estadual,Urbana,55,De 31 a 60 alunos,47,"85,45",De 60% a 80%,Alto,Maior que 50%,"55,2","93,5","4,5",2,"536,62","575,32","488,51","578,94","487,93"
EEB PROF ANTONIA ALPAIDES C DOS SANTOS,JOINVILLE,Estadual,Urbana,138,Mais que 90 alunos,80,"57,97",De 60% a 80%,Alto,Maior que 50%,"88,4","80,5","11,8","7,7","504,7","514,75","486,35","547,65","470,4"
EEB PROF JANDIRA D AVILA,JOINVILLE,Estadual,Urbana,124,Mais que 90 alunos,80,"64,52",De 60% a 80%,Alto,Maior que 50%,74,"87,8","6,9","5,3","519,56",553,"477,11","559,74","490,4"
EEB GIOVANI PASQUALINI FARACO,JOINVILLE,Estadual,Urbana,132,Mais que 90 alunos,86,"65,15",De 40% a 60%,Alto,Maior que 50%,72,"87,5","10,9","1,6","503,09","525,81","470,25","534,1","469,53"
EEB PROF GUSTAVO AUGUSTO GONZAGA,JOINVILLE,Estadual,Urbana,74,De 61 a 90 alunos,57,"77,03",De 40% a 60%,Alto,Maior que 50%,73,"94,5","5,5",0,"515,94","527,72","484,7","558,32","488,53"
EEB PROF RUDOLFO MEYER,JOINVILLE,Estadual,Urbana,110,Mais que 90 alunos,65,"59,09",De 60% a 80%,Alto,Maior que 50%,"68,8","87,6","6,3","6,1","512,28","499,08","477,38","552,76","475,09"
EEB OLAVO BILAC,JOINVILLE,Estadual,Urbana,115,Mais que 90 alunos,62,"53,91",80% ou mais,Alto,Maior que 50%,"72,4","80,5","13,3","6,2","512,57","524,19","478,86","542,6","474,93"
COLEGIO DIMENSAO,NAVEGANTES,Privada,Urbana,14,De 1 a 30 alunos,12,"85,71",80% ou mais,Alto,Maior que 50%,60,"91,7","6,7","1,6","507,73",595,"521,42","556,48","496,68"
EEB JOAO COLIN,JOINVILLE,Estadual,Urbana,189,Mais que 90 alunos,121,"64,02",De 60% a 80%,Alto,Maior que 50%,"65,5","84,9","10,7","4,4","528,54","504,13","485,02","568,17","478,24"
EEB SEN RODRIGO LOBO,JOINVILLE,Estadual,Urbana,33,De 31 a 60 alunos,24,"72,73",De 60% a 80%,Alto,Até 50%,"46,9","88,7","7,5","3,8","519,53","473,33","493,67","554,28","481,66"
EEB PROF JURACY MARIA BROSIG,JOINVILLE,Estadual,Urbana,180,Mais que 90 alunos,91,"50,56",De 60% a 80%,Médio Alto,Maior que 50%,"77,9",81,19,0,"498,3","482,2","480,99","545,03","473,57"
EEM PROF ELADIR SKIBINSKI,JOINVILLE,Estadual,Urbana,58,De 31 a 60 alunos,31,"53,45",De 60% a 80%,Médio Alto,Maior que 50%,"62,9","68,7",18,"13,3","498,31","487,74","461,34","537,33","462,78"
IFSC CAMPUS JOINVILLE,JOINVILLE,Federal,Urbana,44,De 31 a 60 alunos,37,"84,09",Menos de 20%,Alto,Maior que 50%,"85,5","97,4","2,6",0,"599,74","648,11","648,75","633,72","587,47"
COLEGIO SANTO ANTONIO,JOINVILLE,Privada,Urbana,57,De 31 a 60 alunos,53,"92,98",80% ou mais,Muito Alto,Maior que 50%,"59,2","93,5","6,5",0,"565,84","646,04","548,85","599,9","555,42"
ASSOCIACAO EDUCACIONAL LUTERANA BOM JESUS-IELUSC,JOINVILLE,Privada,Urbana,137,Mais que 90 alunos,127,"92,7",80% ou mais,Muito Alto,Maior que 50%,"79,5","89,9","9,3","0,8","595,28","711,5","667,18","646,7","615,1"
COLEGIO CENECISTA JOSE ELIAS MOREIRA,JOINVILLE,Privada,Urbana,202,Mais que 90 alunos,133,"65,84",80% ou mais,Muito Alto,Maior que 50%,"53,9","91,7","7,8","0,5","554,16","578,5","561,82","597,25","546,6"
COLEGIO DA UNIVILLE,JOINVILLE,Privada,Urbana,52,De 31 a 60 alunos,45,"86,54",80% ou mais,Muito Alto,Maior que 50%,70,"91,9","8,1",0,"546,35","585,33","512,14","572,24","522,43"
COLEGIO DOS SANTOS ANJOS,JOINVILLE,Privada,Urbana,80,De 61 a 90 alunos,78,"97,5",80% ou mais,Muito Alto,Maior que 50%,"72,4","87,9","12,1",0,"583,09","600,79","607,99","621,57","576,98"
INSTITUICAO ADVENTISTA SUL BRASILEIRA DE EDUCACAO,JOINVILLE,Privada,Urbana,41,De 31 a 60 alunos,34,"82,93",80% ou mais,Muito Alto,Até 50%,"42,9","93,4","6,6",0,"564,09","614,12","613,08","613,77","552,66"
CENTRO EDUCACIONAL CONEXAO,JOINVILLE,Privada,Urbana,30,De 1 a 30 alunos,24,80,Menos de 20%,Sem informação,Até 50%,"48,5",100,0,0,"568,56","642,5","544,2","593,17","548,15"
CENTRO EDUCACIONAL MACHADO DE ASSIS,JOINVILLE,Privada,Urbana,62,De 61 a 90 alunos,45,"72,58",De 40% a 60%,Muito Alto,Até 50%,"45,6","95,7","4,3",0,"568,12","670,67","563,34","609,55","549,33"
POSIVILLE,JOINVILLE,Privada,Urbana,190,Mais que 90 alunos,161,"84,74",De 60% a 80%,Muito Alto,Maior que 50%,"52,4","97,4","2,6",0,"591,99","699,38","636,72","633,66","612,09"
SENAI SC JOINVILLE SUL,JOINVILLE,Privada,Urbana,72,De 61 a 90 alunos,62,"86,11",Menos de 20%,Sem informação,Até 50%,"39,8","99,1","0,9",0,"554,9","648,39",606,"613,25","561,9"
SENAI SC JOINVILLE NORTE II,JOINVILLE,Privada,Urbana,155,Mais que 90 alunos,136,"87,74",Menos de 20%,Sem informação,Maior que 50%,"63,8","97,9","1,7","0,4","545,11","563,82","584,81","580,82","537,44"
COLEGIO OFICINA ME,JOINVILLE,Privada,Urbana,32,De 31 a 60 alunos,24,75,De 60% a 80%,Muito Alto,Maior que 50%,"81,8",100,0,0,"575,09","633,33","576,74","614,01",542
EXATHUM CURSO E COLEGIO,JOINVILLE,Privada,Urbana,178,Mais que 90 alunos,150,"84,27",De 40% a 60%,Muito Alto,Maior que 50%,"69,2","99,7","0,3",0,"566,06",610,"562,22","604,63","556,67"
COLEGIO TUPY,JOINVILLE,Privada,Urbana,144,Mais que 90 alunos,132,"91,67",80% ou mais,Muito Alto,Maior que 50%,56,"92,2","7,8",0,"552,35","674,14","600,42","613,38","558,25"
EEB JOSE CLEMENTE PEREIRA,JOSE BOITEUX,Estadual,Urbana,47,De 31 a 60 alunos,35,"74,47",80% ou mais,Médio Alto,Maior que 50%,"51,4","85,6",10,"4,4","469,25","446,86",455,"520,78","471,96"
ESCOLA DE EDUCACAO BASICA MARIA MADALENA DE MOURA FERRO,JUPIA,Estadual,Urbana,25,De 1 a 30 alunos,17,68,80% ou mais,Médio,Maior que 50%,"68,1","94,7","1,1","4,2","473,53","465,88","446,55","535,42","463,17"
EEB JOAQUIM D AGOSTINI,LACERDOPOLIS,Estadual,Urbana,23,De 1 a 30 alunos,21,"91,3",80% ou mais,Médio Alto,Maior que 50%,"61,7","94,9","5,1",0,"514,36","491,43","533,33","548,96","500,95"
EEB NS DO ROSARIO,LAGES,Estadual,Urbana,187,Mais que 90 alunos,108,"57,75",De 40% a 60%,Alto,Maior que 50%,"66,3","75,2","16,4","8,4","511,44","482,41","468,46","547,37","476,11"
ESCOLA DE EDUCACAO BASICA INDUSTRIAL DE LAGES,LAGES,Estadual,Urbana,161,Mais que 90 alunos,105,"65,22",De 60% a 80%,Alto,Maior que 50%,"78,8","69,3","19,4","11,3","517,34","499,24","457,54","546,36","471,73"
CEDUP RENATO RAMOS DA SILVA,LAGES,Estadual,Urbana,91,Mais que 90 alunos,68,"74,73",80% ou mais,Alto,Maior que 50%,"64,2","87,8",12,"0,2","531,38","525,29","511,9","571,73","495,46"
EMEF ITINERANTE MARIA ALICE W SOUZA,LAGES,Municipal,Rural,30,De 1 a 30 alunos,15,50,80% ou mais,Médio,Até 50%,"45,9","94,3",0,"5,7","472,81",408,"447,99","520,81","490,64"
COLEGIO SANTA ROSA DE LIMA,LAGES,Privada,Urbana,92,Mais que 90 alunos,65,"70,65",80% ou mais,Muito Alto,Maior que 50%,"53,5","94,7","5,3",0,"550,29","591,08","559,64","583,97","544,71"
COLEGIO BOM JESUS DIOCESANO,LAGES,Privada,Urbana,63,De 61 a 90 alunos,55,"87,3",80% ou mais,Muito Alto,Maior que 50%,"54,3","98,5","1,5",0,"581,67","639,27","676,18","626,62","610,07"
SOCIEDADE DE ENS SANTA BARBARA,LAGES,Privada,Urbana,48,De 31 a 60 alunos,33,"68,75",80% ou mais,Muito Alto,Até 50%,"32,6","91,9","8,1",0,"541,66","561,82","522,3","564,68","504,21"
SISTEMA DE ENSINO ENERGIA LAGES,LAGES,Privada,Urbana,109,Mais que 90 alunos,67,"61,47",De 40% a 60%,Muito Alto,Até 50%,37,"96,1","3,9",0,"559,14","587,76","556,91","601,79","549,75"
SENAI SC LAGES,LAGES,Privada,Urbana,62,De 61 a 90 alunos,43,"69,35",De 60% a 80%,Muito Alto,Até 50%,"28,9","94,1","5,4","0,5","558,55","579,53","540,43","594,47","519,47"
EEF SANTA MARTA,LAGUNA,Estadual,Rural,26,De 1 a 30 alunos,13,50,80% ou mais,Médio,Até 50%,"32,8","87,7","9,8","2,5","484,82","353,85","446,72","512,05","469,62"
EEB SAUL ULYSSEA,LAGUNA,Estadual,Urbana,75,De 61 a 90 alunos,42,56,80% ou mais,Médio Alto,Maior que 50%,"69,4",69,"17,7","13,3","510,79","510,7","461,39","529,58","467,12"
EEM ALMIRANTE LAMEGO,LAGUNA,Estadual,Urbana,151,Mais que 90 alunos,85,"56,29",De 40% a 60%,Médio Alto,Maior que 50%,"57,2","79,6","11,4",9,"499,21","464,24","462,67","532,16","468,65"
EEB ANA GONDIN,LAGUNA,Estadual,Urbana,25,De 1 a 30 alunos,15,60,Menos de 20%,Médio Alto,Maior que 50%,"60,7","79,2","17,4","3,4","493,72","449,33","437,03","504,13","448,71"
EEBP PROFESSORA ADELIA CABRAL VAREJAO,LAGUNA,Privada,Urbana,60,De 31 a 60 alunos,57,95,80% ou mais,Médio Alto,Maior que 50%,"81,1","96,1","3,9",0,"545,08","547,37","522,75","587,49","523,52"
COLEGIO STELLA MARIS,LAGUNA,Privada,Urbana,32,De 31 a 60 alunos,30,"93,75",80% ou mais,Alto,Até 50%,"36,6",87,13,0,"538,86","576,67","538,3","585,17","546,83"
EEB PROFESSORA ANTONIA GASINO DE FREITAS,LAJEADO GRANDE,Estadual,Urbana,11,De 1 a 30 alunos,11,100,80% ou mais,Médio Alto,Até 50%,50,"88,3",5,"6,7","430,17","463,64","479,91","487,36","445,68"
EEB BERTINO SILVA,LEOBERTO LEAL,Estadual,Urbana,30,De 1 a 30 alunos,20,"66,67",80% ou mais,Médio Alto,Maior que 50%,"51,4","82,8","16,7","0,5","490,34",442,"465,67","539,28","465,73"
EEB PE IZIDORO BENJAMIN MORO,LINDOIA DO SUL,Estadual,Urbana,51,De 31 a 60 alunos,40,"78,43",80% ou mais,Médio Alto,Até 50%,"43,9","82,7","10,5","6,8","498,22","446,5","493,3","550,08","490,97"
EEB PADRE NOBREGA,LUZERNA,Estadual,Urbana,107,Mais que 90 alunos,73,"68,22",80% ou mais,Alto,Maior que 50%,"56,3","82,3","15,1","2,6","513,86","526,22","524,94","563,34","503,8"
EEB HERCILIO BUCH,MAFRA,Estadual,Urbana,36,De 31 a 60 alunos,24,"66,67",80% ou mais,Médio,Até 50%,"42,5","92,1","4,5","3,4","493,65","526,67","467,47","540,49","472,6"
EEB SANTO ANTONIO,MAFRA,Estadual,Urbana,94,Mais que 90 alunos,81,"86,17",80% ou mais,Alto,Maior que 50%,"63,9","81,5","18,5",0,"519,28","536,3","481,03","551,79","501,3"
EEB DR FRANCISCO IZABEL,MAFRA,Estadual,Urbana,28,De 1 a 30 alunos,16,"57,14",80% ou mais,Médio Alto,Maior que 50%,"53,5","67,4","22,7","9,9","492,98","457,5","453,76","525,61","485,38"
CEDUP - CENTRO DE EDUCACAO PROFISSIONAL,MAFRA,Estadual,Urbana,16,De 1 a 30 alunos,10,"62,5",80% ou mais,Médio,Maior que 50%,"60,5","85,9","14,1",0,"494,19",398,"463,55","506,43","477,27"
EEB BELERMINO VICTOR DALLA VECCHIA,PONTE SERRADA,Estadual,Urbana,32,De 31 a 60 alunos,20,"62,5",80% ou mais,Médio,Maior que 50%,"69,4","86,6","7,9","5,5","459,12",350,"384,67","499,54","422,21"
COLEGIO EXCELENCIA,MAFRA,Privada,Urbana,75,De 61 a 90 alunos,70,"93,33",De 60% a 80%,Muito Alto,Maior que 50%,"84,6","99,1","0,9",0,"566,59","652,29","564,1","606,55","574,48"
COLEGIO MAFRENSE,MAFRA,Privada,Urbana,14,De 1 a 30 alunos,11,"78,57",80% ou mais,Muito Alto,Maior que 50%,"53,2","97,6","2,4",0,"578,27","578,18","599,75","615,4","555,19"
ESCOLA DE EDUCACAO BASICA MANOEL GOMES BALTAZAR,MARACAJA,Estadual,Urbana,66,De 61 a 90 alunos,39,"59,09",De 60% a 80%,Médio Alto,Maior que 50%,"58,6","87,7","7,2","5,1","486,33","480,51","446,26","537,47","459,9"
EEB JOAO XXIII,MARAVILHA,Estadual,Urbana,75,De 61 a 90 alunos,62,"82,67",80% ou mais,Alto,Até 50%,"46,3","65,2","24,3","10,5","520,59","511,61","504,5","564,74","513,2"
EEB SANTA TEREZINHA,MARAVILHA,Estadual,Urbana,21,De 1 a 30 alunos,13,"61,9",80% ou mais,Médio Alto,Maior que 50%,"73,3","78,3","16,5","5,2","504,42","481,54","495,05","537,61","481,28"
EEB NS DA SALETE,MARAVILHA,Estadual,Urbana,166,Mais que 90 alunos,111,"66,87",De 60% a 80%,Alto,Maior que 50%,"63,1","76,2","16,9","6,9","523,27","550,63","497,17","566,27","490,87"
CENTRO EDUCACIONAL UNIVERSO POSITIVO LTDA,MARAVILHA,Privada,Urbana,11,De 1 a 30 alunos,10,"90,91",80% ou mais,Muito Alto,Maior que 50%,"58,3",100,0,0,"568,37",554,"558,3","586,58","526,48"
EEB PROFº ZELINDO CARBONERA,MAREMA,Estadual,Urbana,29,De 1 a 30 alunos,24,"82,76",80% ou mais,Médio Alto,Até 50%,"33,3","91,9","5,8","2,3","458,78","453,33","418,07","491,55","448,18"
EEF FELIPE MANKE,MASSARANDUBA,Estadual,Rural,23,De 1 a 30 alunos,12,"52,17",De 60% a 80%,Médio Alto,Até 50%,"33,3","80,2","9,3","10,5","473,07",340,"476,91","533,88","498,54"
EEB DOM DANIEL HOSTIN,MATOS COSTA,Estadual,Urbana,18,De 1 a 30 alunos,12,"66,67",80% ou mais,Médio,Maior que 50%,"54,2","92,6","5,3","2,1","471,56",440,"420,64","497,36","464,35"
EEB DE MELEIRO,MELEIRO,Estadual,Urbana,77,De 61 a 90 alunos,39,"50,65",80% ou mais,Médio Alto,Maior que 50%,"72,5","80,3","11,6","8,1","513,93","486,15","477,96","547,34","492,7"
EEB BRUNO HEIDRICH,MIRIM DOCE,Estadual,Urbana,19,De 1 a 30 alunos,13,"68,42",De 60% a 80%,Médio Alto,Até 50%,50,"91,5","5,4","3,1","446,29","423,08","425,23","525,29","455,26"
EEB DOM HELDER CAMARA,MODELO,Estadual,Urbana,29,De 1 a 30 alunos,18,"62,07",80% ou mais,Médio Alto,Maior que 50%,"51,7","70,2","15,9","13,9","482,12","499,06","457,38","538,78","468,47"
EEB DELMINDA SILVEIRA,MONDAI,Estadual,Urbana,85,De 61 a 90 alunos,57,"67,06",80% ou mais,Médio Alto,Maior que 50%,"62,2","80,8","16,2",3,"484,72","488,07","470,49","532,81","468,32"
EEB PROFª VIRGINIA P SILVA GONCALVES,MONTE CARLO,Estadual,Urbana,77,De 61 a 90 alunos,41,"53,25",80% ou mais,Médio,Maior que 50%,"58,3","78,3","8,1","13,6","503,03","451,71","448,83","540,9","460,8"
EEB VALENTIN GONCALVES RIBEIRO,MONTE CASTELO,Estadual,Urbana,75,De 61 a 90 alunos,46,"61,33",80% ou mais,Médio Alto,Maior que 50%,58,"78,2","13,8",8,"484,96","468,26","450,93","511,4","467,65"
EEB PRINCESA ISABEL,MORRO DA FUMACA,Estadual,Urbana,133,Mais que 90 alunos,69,"51,88",80% ou mais,Alto,Maior que 50%,63,"74,1","20,3","5,6","509,02","485,51","473,94","545,56","493,4"
EEB ANA MACHADO DAL TOE,MORRO GRANDE,Estadual,Urbana,42,De 31 a 60 alunos,26,"61,9",80% ou mais,Médio Alto,Maior que 50%,"70,6","82,4","13,6",4,"482,09","452,31","476,66","519,7","479,1"
EEB PROF PAULINA GAYA,NAVEGANTES,Estadual,Urbana,118,Mais que 90 alunos,86,"72,88",De 60% a 80%,Médio Alto,Até 50%,"38,9",76,"16,6","7,4","481,69","440,47","444,54","530,06","454,13"
EEB SAO JOSE,NAVEGANTES,Estadual,Urbana,21,De 1 a 30 alunos,14,"66,67",De 60% a 80%,Médio Alto,Até 50%,"29,8","84,6","10,6","4,8","445,52","385,71","406,3","511,56","474,61"
EEB PROFª JULIA MIRANDA DE SOUZA,NAVEGANTES,Estadual,Urbana,161,Mais que 90 alunos,114,"70,81",De 60% a 80%,Médio Alto,Maior que 50%,"64,6","61,6","21,8","16,6","502,83","496,84","461,35","538,43","469,63"
EEB ADELAIDE KONDER,NAVEGANTES,Estadual,Urbana,98,Mais que 90 alunos,51,"52,04",80% ou mais,Médio Alto,Maior que 50%,67,"84,1","10,7","5,2","504,03","495,69","466,94","540,4","481,55"
COLEGIO NAVEGANTES FERREIRA PISKE,NAVEGANTES,Privada,Urbana,30,De 1 a 30 alunos,17,"56,67",80% ou mais,Alto,Maior que 50%,"64,1",95,5,0,"514,52","542,35","476,78","538,24","488,93"
CENTRO EDUCACIONAL SINERGIA LTDA- ME - COLEGIO SINERGIA,NAVEGANTES,Privada,Urbana,29,De 1 a 30 alunos,23,"79,31",De 60% a 80%,Alto,Maior que 50%,"52,9","98,8","1,2",0,"557,69","559,13","568,65","596,72","539,83"
EEB RUDOLFO LUZINA,NOVA ERECHIM,Estadual,Urbana,56,De 31 a 60 alunos,44,"78,57",De 60% a 80%,Médio Alto,Até 50%,"36,6","77,1","17,6","5,3","502,15","491,36","471,71","546,9","469,63"
EEB DR SERAFIN ENOSS BERTASO,NOVA ITABERABA,Estadual,Urbana,64,De 61 a 90 alunos,44,"68,75",80% ou mais,Médio Alto,Maior que 50%,"55,3","82,3","17,3","0,4","473,16","405,45","443,94","513,08","467,2"
EEB FRANCISCO MAZZOLA,NOVA TRENTO,Estadual,Urbana,130,Mais que 90 alunos,71,"54,62",80% ou mais,Alto,Maior que 50%,"66,8","88,6",9,"2,4","512,22","512,96","492,07","552,81","504,35"
EEB JULIETA T GONCALVES,NOVA VENEZA,Estadual,Urbana,27,De 1 a 30 alunos,17,"62,96",80% ou mais,Médio Alto,Maior que 50%,"54,3",83,"7,5","9,5","505,33","470,59","453,75","538,59","494,35"
EEB HUMBERTO HERMES HOFFMANN,NOVA VENEZA,Estadual,Urbana,56,De 31 a 60 alunos,37,"66,07",80% ou mais,Alto,Maior que 50%,"60,9","82,8","11,7","5,5","483,83","423,78","451,16","522,47","452,14"
ESCOLA DE EDUCACAO BASICA SANTA LUCIA,NOVO HORIZONTE,Estadual,Urbana,54,De 31 a 60 alunos,28,"51,85",80% ou mais,Médio,Maior que 50%,"71,1","85,3","12,3","2,4","483,29","457,14","454,64","528,78","475,19"
EEB SAMUEL SANDRINI,ORLEANS,Estadual,Urbana,29,De 1 a 30 alunos,24,"82,76",80% ou mais,Alto,Maior que 50%,"52,8","88,4","10,1","1,5","491,78","481,67","488,27","544,88","491,87"
EEB TONEZA CASCAES,ORLEANS,Estadual,Urbana,104,Mais que 90 alunos,77,"74,04",De 60% a 80%,Médio Alto,Maior que 50%,"52,3",69,"19,1","11,9","468,91","428,57","438,76","518,54","465,72"
EEB COSTA CARNEIRO,ORLEANS,Estadual,Urbana,29,De 1 a 30 alunos,19,"65,52",80% ou mais,Alto,Maior que 50%,"54,2","83,1","16,3","0,6","488,93","450,53","436,51","532,93","504,27"
ESCOLA BARRIGA VERDE,ORLEANS,Privada,Urbana,18,De 1 a 30 alunos,14,"77,78",80% ou mais,Muito Alto,Maior que 50%,"65,1",100,0,0,"540,27","572,86","503,98","569,2","508,07"
EEB ELZA DEEKE,OTACILIO COSTA,Estadual,Urbana,127,Mais que 90 alunos,72,"56,69",80% ou mais,Alto,Até 50%,"47,9","74,7","16,5","8,8","487,56","429,22","446,75","516,68","464,43"
EEB PREF SILVIO SANTOS,OURO,Estadual,Urbana,32,De 31 a 60 alunos,20,"62,5",80% ou mais,Médio Alto,Maior que 50%,"57,4","85,2","9,9","4,9","493,16",502,"475,82","552,57","484,28"
EEB FRANCISCO MACIEL BAGESTON,PAIAL,Estadual,Urbana,19,De 1 a 30 alunos,18,"94,74",80% ou mais,Médio Alto,Até 50%,"33,3",85,10,5,"475,19","413,33","464,02","533,29","479,58"
